GEOID,total_rows,missing_rows,missing_share
,5958,5958,1.0
36047017700,4692,4692,1.0
36061014300,3370,3370,1.0
36047054300,2540,2540,1.0
36061031100,2121,2121,1.0
36005006302,1728,1728,1.0
36081038302,1648,1648,1.0
36047017500,1459,1459,1.0
36081019902,1435,1435,1.0
36081017902,1433,1433,1.0
36061024000,1428,1428,1.0
36081000104,1374,1374,1.0
36081021900,1372,1372,1.0
36005016300,1365,1365,1.0
36061029700,1364,1364,1.0
36047001802,1192,1192,1.0
36061010200,1158,1158,1.0
36047035702,1083,1083,1.0
36061009600,1077,1077,1.0
36061021703,1056,1056,1.0
36005023100,1046,1046,1.0
36047001803,1045,1045,1.0
36047008600,1044,1044,1.0
36081009900,980,980,1.0
36081017101,956,956,1.0
36061000500,892,892,1.0
36081019901,778,778,1.0
36047003102,730,730,1.0
36005017100,722,722,1.0
36047044902,718,718,1.0
36081010701,699,699,1.0
36005043503,663,663,1.0
36047001804,659,659,1.0
36081022900,609,609,1.0
36005024900,606,606,1.0
36005001903,525,525,1.0
36061002902,366,366,1.0
36047025902,365,365,1.0
36047057902,365,365,1.0
36081000103,365,365,1.0
36081008700,365,365,1.0
36081053902,365,365,1.0
36081003700,363,363,1.0
36047001801,360,360,1.0
36047085200,348,348,1.0
36005033400,315,315,1.0
36005001901,729,0,0.0
36005001902,1768,0,0.0
36005002300,365,0,0.0
36005002500,719,0,0.0
36005002701,414,0,0.0
36005002702,728,0,0.0
36005003100,718,0,0.0
36005003500,727,0,0.0
36005003700,363,0,0.0
36005003900,364,0,0.0
36005004100,1505,0,0.0
36005004300,1089,0,0.0
36005005100,1805,0,0.0
36005005300,361,0,0.0
36005006100,728,0,0.0
36005006301,2515,0,0.0
36005006500,1094,0,0.0
36005006700,1083,0,0.0
36005006900,727,0,0.0
36005007100,1070,0,0.0
36005007300,768,0,0.0
36005007500,730,0,0.0
36005007700,358,0,0.0
36005007900,1448,0,0.0
36005008300,293,0,0.0
36005008500,766,0,0.0
36005008700,1075,0,0.0
36005008900,358,0,0.0
36005009301,1424,0,0.0
36005011502,625,0,0.0
36005011900,298,0,0.0
36005012101,355,0,0.0
36005012102,316,0,0.0
36005012300,690,0,0.0
36005012500,1066,0,0.0
36005012701,719,0,0.0
36005012901,714,0,0.0
36005013100,1007,0,0.0
36005013500,727,0,0.0
36005014100,727,0,0.0
36005014300,1079,0,0.0
36005014500,730,0,0.0
36005014701,729,0,0.0
36005014702,1085,0,0.0
36005014900,365,0,0.0
36005015100,1077,0,0.0
36005015300,636,0,0.0
36005015700,1080,0,0.0
36005015900,363,0,0.0
36005016100,1088,0,0.0
36005016500,661,0,0.0
36005016700,1070,0,0.0
36005017300,1053,0,0.0
36005017500,416,0,0.0
36005017702,692,0,0.0
36005017901,365,0,0.0
36005017902,365,0,0.0
36005018102,1094,0,0.0
36005018302,365,0,0.0
36005018502,1082,0,0.0
36005018900,1418,0,0.0
36005019300,365,0,0.0
36005019500,1330,0,0.0
36005019700,342,0,0.0
36005019900,364,0,0.0
36005020100,1084,0,0.0
36005020501,365,0,0.0
36005020900,307,0,0.0
36005021100,365,0,0.0
36005021301,701,0,0.0
36005021302,365,0,0.0
36005021501,1063,0,0.0
36005021502,718,0,0.0
36005021700,997,0,0.0
36005021900,661,0,0.0
36005022102,364,0,0.0
36005022300,436,0,0.0
36005022500,1794,0,0.0
36005022701,340,0,0.0
36005022702,349,0,0.0
36005022901,726,0,0.0
36005023301,358,0,0.0
36005023501,365,0,0.0
36005023502,364,0,0.0
36005023702,365,0,0.0
36005023703,365,0,0.0
36005023704,365,0,0.0
36005023900,342,0,0.0
36005024100,919,0,0.0
36005024300,689,0,0.0
36005024502,351,0,0.0
36005024700,364,0,0.0
36005025100,1075,0,0.0
36005025300,683,0,0.0
36005025500,695,0,0.0
36005025700,356,0,0.0
36005026300,721,0,0.0
36005026500,1421,0,0.0
36005026701,345,0,0.0
36005026702,712,0,0.0
36005026900,977,0,0.0
36005027300,1364,0,0.0
36005027700,251,0,0.0
36005027900,788,0,0.0
36005028300,723,0,0.0
36005028500,701,0,0.0
36005028700,650,0,0.0
36005028900,1029,0,0.0
36005035900,725,0,0.0
36005036100,713,0,0.0
36005036300,1770,0,0.0
36005036502,348,0,0.0
36005036902,711,0,0.0
36005037100,727,0,0.0
36005037300,397,0,0.0
36005037504,1069,0,0.0
36005037900,353,0,0.0
36005038100,1446,0,0.0
36005038301,344,0,0.0
36005038303,338,0,0.0
36005038500,360,0,0.0
36005038700,1064,0,0.0
36005038900,359,0,0.0
36005039100,728,0,0.0
36005039300,728,0,0.0
36005039500,1404,0,0.0
36005039700,1071,0,0.0
36005039901,641,0,0.0
36005039902,730,0,0.0
36005040100,362,0,0.0
36005040302,44,0,0.0
36005040501,410,0,0.0
36005040502,671,0,0.0
36005040701,347,0,0.0
36005040702,927,0,0.0
36005040900,3831,0,0.0
36005041100,360,0,0.0
36005041300,1045,0,0.0
36005041500,267,0,0.0
36005041900,658,0,0.0
36005042100,365,0,0.0
36005042500,722,0,0.0
36047000100,524,0,0.0
36047000200,982,0,0.0
36047000301,699,0,0.0
36047000501,348,0,0.0
36047000502,1044,0,0.0
36047000700,666,0,0.0
36047000900,731,0,0.0
36047001100,730,0,0.0
36047001300,1095,0,0.0
36047001501,365,0,0.0
36047001502,732,0,0.0
36047002000,285,0,0.0
36047002100,3685,0,0.0
36047002200,1536,0,0.0
36047002300,1460,0,0.0
36047002901,365,0,0.0
36047003101,1452,0,0.0
36047003300,1020,0,0.0
36047003400,274,0,0.0
36047003500,1067,0,0.0
36047003600,141,0,0.0
36047003700,1096,0,0.0
36047003800,94,0,0.0
36047003900,365,0,0.0
36047004100,835,0,0.0
36047004300,730,0,0.0
36047004400,82,0,0.0
36047004500,806,0,0.0
36047004600,308,0,0.0
36047004700,1375,0,0.0
36047005000,89,0,0.0
36047005100,365,0,0.0
36047005201,104,0,0.0
36047005202,28,0,0.0
36047005301,2388,0,0.0
36047005302,1460,0,0.0
36047005601,59,0,0.0
36047005602,51,0,0.0
36047005800,70,0,0.0
36047005900,1450,0,0.0
36047006000,23,0,0.0
36047006200,103,0,0.0
36047006300,365,0,0.0
36047006400,204,0,0.0
36047006500,730,0,0.0
36047006600,169,0,0.0
36047006700,730,0,0.0
36047006800,177,0,0.0
36047006901,359,0,0.0
36047006902,1095,0,0.0
36047007000,349,0,0.0
36047007100,821,0,0.0
36047007200,357,0,0.0
36047007400,1070,0,0.0
36047007500,1461,0,0.0
36047007600,691,0,0.0
36047007700,1182,0,0.0
36047008000,1053,0,0.0
36047008200,696,0,0.0
36047008400,896,0,0.0
36047008500,1090,0,0.0
36047008800,728,0,0.0
36047009600,701,0,0.0
36047009800,364,0,0.0
36047010000,1401,0,0.0
36047010100,1089,0,0.0
36047010200,716,0,0.0
36047011000,154,0,0.0
36047011700,1094,0,0.0
36047011800,364,0,0.0
36047011901,1823,0,0.0
36047012100,727,0,0.0
36047012200,340,0,0.0
36047012600,1137,0,0.0
36047012700,1062,0,0.0
36047012902,365,0,0.0
36047013100,1080,0,0.0
36047013300,1095,0,0.0
36047013400,108,0,0.0
36047013500,726,0,0.0
36047013600,80,0,0.0
36047013700,730,0,0.0
36047013900,730,0,0.0
36047014101,365,0,0.0
36047014200,128,0,0.0
36047014300,724,0,0.0
36047014500,713,0,0.0
36047014700,330,0,0.0
36047014901,365,0,0.0
36047014902,365,0,0.0
36047015100,366,0,0.0
36047015300,827,0,0.0
36047015500,730,0,0.0
36047015700,681,0,0.0
36047015900,1455,0,0.0
36047016000,130,0,0.0
36047016100,732,0,0.0
36047016200,63,0,0.0
36047016300,897,0,0.0
36047016900,730,0,0.0
36047017100,730,0,0.0
36047017900,730,0,0.0
36047018100,366,0,0.0
36047018300,365,0,0.0
36047018501,365,0,0.0
36047018700,730,0,0.0
36047019300,1094,0,0.0
36047019700,907,0,0.0
36047019900,518,0,0.0
36047020100,365,0,0.0
36047020300,840,0,0.0
36047020500,1095,0,0.0
36047020700,897,0,0.0
36047021100,1095,0,0.0
36047021300,1087,0,0.0
36047021700,731,0,0.0
36047021900,1088,0,0.0
36047022100,364,0,0.0
36047022600,91,0,0.0
36047022700,1095,0,0.0
36047022800,409,0,0.0
36047022900,730,0,0.0
36047023300,1559,0,0.0
36047024100,730,0,0.0
36047024300,365,0,0.0
36047024500,344,0,0.0
36047024700,816,0,0.0
36047024900,730,0,0.0
36047025100,365,0,0.0
36047025300,365,0,0.0
36047025500,1092,0,0.0
36047025700,728,0,0.0
36047025901,365,0,0.0
36047026100,1095,0,0.0
36047026300,365,0,0.0
36047026500,730,0,0.0
36047026900,731,0,0.0
36047027100,365,0,0.0
36047027300,1093,0,0.0
36047027500,365,0,0.0
36047027700,1094,0,0.0
36047027900,726,0,0.0
36047028100,730,0,0.0
36047028501,365,0,0.0
36047028700,701,0,0.0
36047028900,316,0,0.0
36047029100,730,0,0.0
36047029300,793,0,0.0
36047029500,730,0,0.0
36047029700,1095,0,0.0
36047029900,363,0,0.0
36047030100,359,0,0.0
36047030300,1422,0,0.0
36047030500,1400,0,0.0
36047030700,1087,0,0.0
36047030900,727,0,0.0
36047031100,730,0,0.0
36047031300,730,0,0.0
36047031500,365,0,0.0
36047031701,366,0,0.0
36047031702,728,0,0.0
36047031900,1092,0,0.0
36047032100,365,0,0.0
36047032300,365,0,0.0
36047032500,1144,0,0.0
36047032700,1457,0,0.0
36047032900,722,0,0.0
36047033100,365,0,0.0
36047033300,365,0,0.0
36047033500,730,0,0.0
36047033701,727,0,0.0
36047033702,362,0,0.0
36047033900,365,0,0.0
36047034100,730,0,0.0
36047034300,730,0,0.0
36047034500,1093,0,0.0
36047034700,362,0,0.0
36047034901,725,0,0.0
36047035102,1090,0,0.0
36047035301,365,0,0.0
36047035500,365,0,0.0
36047035900,721,0,0.0
36047036100,714,0,0.0
36047036300,1034,0,0.0
36047036501,341,0,0.0
36047036502,1020,0,0.0
36047036700,1423,0,0.0
36047036900,728,0,0.0
36047037100,1422,0,0.0
36047037300,1120,0,0.0
36047037500,364,0,0.0
36047037700,730,0,0.0
36047037900,730,0,0.0
36047038100,1087,0,0.0
36047038300,676,0,0.0
36047038500,730,0,0.0
36047038700,365,0,0.0
36047038900,402,0,0.0
36047039100,730,0,0.0
36047039300,1095,0,0.0
36047039500,730,0,0.0
36047039700,1172,0,0.0
36047039900,365,0,0.0
36047040100,365,0,0.0
36047040300,365,0,0.0
36047040500,727,0,0.0
36047040900,730,0,0.0
36047041100,413,0,0.0
36047041300,1095,0,0.0
36047041500,1168,0,0.0
36047041900,365,0,0.0
36047042100,365,0,0.0
36047042300,1460,0,0.0
36047042500,1460,0,0.0
36047042700,365,0,0.0
36047042900,1095,0,0.0
36047043100,364,0,0.0
36047043300,1094,0,0.0
36047043500,365,0,0.0
36047043700,730,0,0.0
36047043900,1457,0,0.0
36047044100,365,0,0.0
36047044300,730,0,0.0
36047044500,644,0,0.0
36047044700,1459,0,0.0
36047044901,1456,0,0.0
36047045300,1092,0,0.0
36047047700,1417,0,0.0
36047047800,34,0,0.0
36047048100,730,0,0.0
36047048500,2552,0,0.0
36047048600,394,0,0.0
36047048800,158,0,0.0
36047048900,168,0,0.0
36047049200,551,0,0.0
36047049302,366,0,0.0
36047049400,363,0,0.0
36047049500,717,0,0.0
36047049600,727,0,0.0
