GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36005000100,,,0,0,,
1400000US36005000200,,123729,1416,378,12.9,0.2669491525423729
1400000US36005000400,,105924,2218,447,4.5,0.20153291253381425
1400000US36005001600,,52147,2083,999,15.2,0.47959673547767645
1400000US36005001901,,58083,1149,855,22.5,0.7441253263707572
1400000US36005001902,,48953,624,337,39.6,0.5400641025641025
1400000US36005001903,,,0,0,,
1400000US36005001904,,,0,0,,
1400000US36005002001,,22311,1729,1328,52.4,0.768074031231926
1400000US36005002002,,18649,1808,1103,43.0,0.610066371681416
1400000US36005002300,,16332,1904,1627,60.3,0.854516806722689
1400000US36005002400,,,0,0,74.3,
1400000US36005002500,,35582,1872,1533,44.8,0.8189102564102564
1400000US36005002701,,20266,1197,1036,46.7,0.8654970760233918
1400000US36005002702,,30895,1528,1072,46.1,0.7015706806282722
1400000US36005002800,,58068,2806,955,8.2,0.3403421240199572
1400000US36005003100,,59297,1162,907,22.0,0.7805507745266781
1400000US36005003300,,31289,1243,734,43.2,0.5905068382944489
1400000US36005003500,,36569,1428,975,22.4,0.6827731092436975
1400000US36005003700,,53029,149,107,30.0,0.7181208053691275
1400000US36005003800,,54214,392,153,32.3,0.3903061224489796
1400000US36005003900,,25625,2197,1569,37.1,0.7141556668183887
1400000US36005004001,,78935,489,148,8.6,0.30265848670756645
1400000US36005004100,,14592,2468,1891,53.9,0.7662074554294975
1400000US36005004200,,55404,2839,1448,15.7,0.5100387460373371
1400000US36005004300,,23393,2230,1829,47.1,0.8201793721973094
1400000US36005004400,,24375,1539,1175,38.2,0.7634827810266407
1400000US36005004600,,30714,664,325,51.4,0.4894578313253012
1400000US36005004800,,35870,1498,1114,25.5,0.7436582109479306
1400000US36005005001,,33632,1406,1001,55.9,0.7119487908961594
1400000US36005005002,,34688,1880,1366,38.4,0.7265957446808511
1400000US36005005100,,25851,2930,2588,38.2,0.8832764505119454
1400000US36005005200,,39743,813,538,37.9,0.6617466174661747
1400000US36005005300,,20608,1614,1318,63.9,0.8166047087980174
1400000US36005005400,,54884,1756,1258,24.8,0.7164009111617312
1400000US36005005600,,41684,1006,556,43.7,0.5526838966202783
1400000US36005005902,,51364,1288,1000,34.1,0.7763975155279503
1400000US36005006000,,78269,386,161,14.5,0.4170984455958549
1400000US36005006100,,72123,1875,1081,10.7,0.5765333333333333
1400000US36005006200,,27453,2544,1729,47.1,0.6796383647798742
