start_station_id,matched_station_name,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,median_daily_rides,avg_member_rides,avg_casual_rides,avg_member_share,active_days,avg_rides_per_active_day,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,rides_per_dock,stations_in_tract,income_band,poverty_band,no_vehicle_band,total_households,households_no_vehicle,borough,avg_weekday_rides,avg_weekday_member_share,avg_weekend_rides,avg_weekend_member_share,weekday_weekend_ratio
1964.01,101 St & Fort Hamilton Pkwy,36047016200,40.61124,-74.03282,12.0,40,1.818,1.5,1.227,0.591,0.667,22,1.8,100278.0,14.9,0.4294755877034358,4652.7,620.5,0.0,Bay Ridge-95 St,0.15,3,Mid-High,Moderate,Low,1106.0,475.0,Brooklyn,1.875,0.667,1.667,0.667,1.12
2009.04,Shore Rd & 4 Ave,36047005602,40.6115,-74.03513,12.0,42,2.211,1.0,1.316,0.895,0.594,19,2.2,96397.0,2.8,0.4601036269430051,7145.2,673.3,0.0,Bay Ridge-95 St,0.18,2,Mid-High,Low,Low,965.0,444.0,Brooklyn,2.333,0.58,2.0,0.619,1.17
2042.01,4 Ave & 99 St,36047016200,40.61327,-74.03315,16.0,44,1.692,1.0,1.346,0.346,0.785,26,1.7,100278.0,14.9,0.4294755877034358,4652.7,419.2,1.0,Bay Ridge-95 St,0.11,3,Mid-High,Moderate,Low,1106.0,475.0,Brooklyn,1.611,0.773,1.875,0.812,0.86
2086.07,99 St & 3 Ave,36047005602,40.61451,-74.03502,14.0,61,1.906,2.0,1.438,0.469,0.716,32,1.9,96397.0,2.8,0.4601036269430051,7145.2,421.3,1.0,Bay Ridge-95 St,0.14,2,Mid-High,Low,Low,965.0,444.0,Brooklyn,2.042,0.726,1.5,0.688,1.36
2118.13,Fort Hamilton Pkwy & 95 St,36047016200,40.61466,-74.02946,16.0,22,1.467,1.0,1.0,0.467,0.644,15,1.5,100278.0,14.9,0.4294755877034358,4652.7,248.8,1.0,Bay Ridge-95 St,0.09,3,Mid-High,Moderate,Low,1106.0,475.0,Brooklyn,1.556,0.463,1.333,0.917,1.17
2127.03,Shore Rd & 97 St,36047005601,40.61529,-74.03779,12.0,45,1.957,2.0,1.087,0.87,0.62,23,2.0,104598.0,18.0,0.580289455547898,8365.9,602.1,0.0,Bay Ridge-95 St,0.16,2,Mid-High,Elevated,Moderate,1451.0,842.0,Brooklyn,1.688,0.62,2.571,0.619,0.66
2158.08,4 Ave & 94 St,36047005800,40.61689,-74.03091,23.0,110,3.438,3.0,2.625,0.812,0.752,32,3.4,77648.0,7.6,0.5633995887594243,7547.2,29.9,1.0,Bay Ridge-95 St,0.15,2,Mid-Low,Low,Moderate,1459.0,822.0,Brooklyn,3.174,0.741,4.111,0.778,0.77
2190.08,Fort Hamilton Pkwy & 92 St,36047016000,40.61717,-74.02744,16.0,61,2.103,2.0,1.0,1.103,0.431,29,2.1,83920.0,16.7,0.5536967080410146,7164.7,296.4,1.0,Bay Ridge-95 St,0.13,3,Mid-Low,Elevated,Low,1853.0,1026.0,Brooklyn,2.0,0.349,2.375,0.646,0.84
2200.07,96 St & Marine Ave,36047005601,40.61699,-74.03568,16.0,105,2.917,2.5,2.0,0.917,0.665,36,2.9,104598.0,18.0,0.580289455547898,8365.9,407.5,1.0,Bay Ridge-95 St,0.18,2,Mid-High,Elevated,Moderate,1451.0,842.0,Brooklyn,2.769,0.613,3.3,0.8,0.84
2231.10,3 Ave & 92 St,36047005800,40.61946,-74.03261,16.0,128,3.368,3.0,2.105,1.263,0.659,38,3.4,77648.0,7.6,0.5633995887594243,7547.2,347.9,1.0,Bay Ridge-95 St,0.21,2,Mid-Low,Low,Moderate,1459.0,822.0,Brooklyn,2.92,0.648,4.231,0.682,0.69
